frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract
166,1.0,[901.8304655601639 607.807405316166 1349.2269553320418 1004.111679639764],[1047.1051025390625 788.8090209960938 1136.3150634765625 831.6864624023438],0.7779603600502014,KNH279,0.45227664837801496,KNN279
167,1.0,[901.5645746728333 621.7888346071161 1350.8540334823788 1012.0834897323659],[1046.092041015625 787.6587524414062 1135.479736328125 831.1924438476562],0.7774310111999512,KNM279,0.23702957083343076,KNM279
168,1.0,[899.027808926442 628.0322631246142 1351.216361251927 1013.8975783179121],[1045.3115234375 788.1286010742188 1132.3748779296875 830.1659545898438],0.7832639217376709,KNH279,0.3069996686179686,KNM279
169,1.0,[896.1973703685771 631.6630832563372 1351.446730300775 1014.9064013962037],[1044.079345703125 787.692626953125 1131.1368408203125 830.95751953125],0.7778967022895813,KNN279,0.6330220491057197,None
170,1.0,[894.586140806458 633.6400047599399 1352.0565560012715 1014.8671009018075],[1044.080322265625 787.6917114257812 1131.12646484375 830.9577026367188],0.7778944373130798,KNN279,0.6436539726482006,None
171,1.0,[892.6803065995922 635.0742099344861 1352.465678142662 1014.6004175101596],[1039.5479736328125 789.5883178710938 1130.6422119140625 830.6325073242188],0.7492221593856812,KNN279,0.35880546646275663,KNM279
172,1.0,[890.689201437089 628.903909680994 1352.744453144271 1011.6813240181862],[1039.3211669921875 790.3099365234375 1130.638427734375 835.4769287109375],0.7634979486465454,KNH279,0.3878052591072428,KNM279
173,1.0,[889.5749920654766 625.838378549562 1353.2522461088938 1011.0549163309514],[1039.323974609375 790.3267822265625 1130.6507568359375 835.4833374023438],0.7630280256271362,KNH279,0.3878052591072428,KNM279
174,1.0,[887.8204766426911 627.5479117966447 1352.3706578033225 1013.0718742082497],[1039.3955078125 789.9935302734375 1128.782958984375 835.900634765625],0.7719314694404602,KNA279,0.375256161561011,None
175,1.0,[887.0580664649225 628.3690170388658 1352.2954803668754 1014.1500604060883],[1039.39306640625 789.9929809570312 1128.784423828125 835.9008178710938],0.7720135450363159,KNA279,0.375256161561011,None
176,1.0,[886.4213696057934 634.3971684817783 1352.477642098507 1017.9149324666836],[1038.2099609375 789.6937866210938 1128.8997802734375 834.4546508789062],0.7755114436149597,KNN279,0.5823674681891885,KNM279
177,1.0,[886.6477896689973 636.6252059807024 1353.1319322762417 1017.9056717859304],[1038.7178955078125 789.049072265625 1128.8878173828125 830.315185546875],0.7731773853302002,KNN279,0.41671427226258867,None
178,1.0,[887.4014764226238 637.0235837972043 1354.3478500113108 1016.7616101789297],[1038.8424072265625 788.5394897460938 1128.95263671875 830.1095581054688],0.7742260694503784,KNA279,0.4882886969212145,KNM279
179,1.0,[887.7978241297727 638.0208387507425 1355.3314235914522 1017.3870929601869],[1038.8350830078125 788.5387573242188 1128.9493408203125 830.1102905273438],0.7740744948387146,KNA279,0.4882886969212145,KNM279
180,1.0,[888.5946185198162 637.1333665830359 1356.5388471196202 1018.7872777318184],[1039.200927734375 787.4536743164062 1129.6202392578125 830.1813354492188],0.7495384812355042,KNH279,0.4996656595881329,KNW279
181,1.0,[888.8718184460201 636.3145773661853 1355.8047129148283 1018.6694203465398],[1038.995361328125 787.5159301757812 1129.8907470703125 829.5115356445312],0.7592532634735107,KNH279,0.32141086623444765,KNM279
182,1.0,[889.1495000030683 635.8056645059144 1355.336226690537 1018.6959773676647],[1038.9974365234375 787.5151977539062 1129.890625 829.5108032226562],0.7592027187347412,KNH279,0.32141086623444765,KNM279
183,1.0,[890.1508701373511 631.9566057407066 1356.3489874602017 1015.3075997534435],[1038.444580078125 785.7837524414062 1129.4791259765625 827.7632446289062],0.7697346210479736,KNH279,0.8471672869701103,KNM275
184,1.0,[890.5000905252924 630.3392972286326 1356.645169840425 1014.0317532262691],[1038.4556884765625 785.7843017578125 1129.47705078125 827.756103515625],0.7696051597595215,KNH279,0.8471672869701103,KNM275
185,1.0,[890.6412401705425 633.0864202328738 1356.8628911380383 1014.7721925183342],[1038.2894287109375 784.4979858398438 1129.15625 827.2437744140625],0.7801546454429626,KNH279,0.8107090800427689,None
186,1.0,[891.5092167664114 634.3614490926026 1358.5935708485936 1013.938123577465],[1038.1827392578125 782.9271240234375 1128.9979248046875 827.051513671875],0.7913103103637695,KNB279,0.40778239580051767,None
187,1.0,[891.9199420997063 633.7605161076542 1358.6855965383336 1012.2160583771717],[1038.287109375 783.1204833984375 1128.3533935546875 826.6951904296875],0.7963345646858215,KNH279,0.3860447666557961,KNK279
188,1.0,[892.1581844821616 633.8353247021844 1358.6494733951054 1011.4012957182347],[1038.288330078125 783.1212158203125 1128.353515625 826.69482421875],0.7963055968284607,KNH279,0.3860447666557961,KNK279
189,1.0,[893.7402806673107 636.0298295982323 1360.841823256712 1012.9501640463939],[1038.3878173828125 784.5401000976562 1128.1121826171875 826.8110961914062],0.7957046627998352,KNH279,0.819218242327224,None
190,1.0,[894.2067416449165 636.5527786960147 1361.8012711824529 1013.1976966400321],[1038.3665771484375 784.5706787109375 1128.079833984375 826.8116455078125],0.7965004444122314,KNH279,0.8198708978918419,None
194,1.0,[897.3731651353492 635.1319829462941 1370.2882513767395 1011.0939246674156],[1038.305419921875 790.9537963867188 1121.4342041015625 831.912109375],0.7508168816566467,KNM279,0.4980783788674961,None
196,1.0,[896.9580105173507 628.8560786105152 1370.9129524068633 1008.1357030631432],[1038.3331298828125 790.3928833007812 1119.1837158203125 830.694580078125],0.7321788668632507,KNN279,0.32047520983459865,None
198,1.0,[900.5522976669388 630.2432956445821 1375.3620834657129 1007.9014635986318],[1033.35546875 783.4949340820312 1119.040771484375 823.0969848632812],0.7846014499664307,KNM279,0.6341007760057548,None
199,1.0,[900.9991557150065 631.1964123184006 1376.1528690716245 1007.8580354795889],[1033.3663330078125 783.5093994140625 1119.0428466796875 823.0865478515625],0.7846380472183228,KNM279,0.6788994982353784,None
200,1.0,[902.7123660452235 617.4182068191494 1380.067147211972 999.9118694610127],[1035.83203125 777.0732421875 1117.142578125 815.9366455078125],0.7502650618553162,KNN279,0.40546154532094536,None
209,1.0,[922.8234956752831 630.0510541821342 1411.2075457365227 991.0122402247397],[1045.73388671875 768.7989501953125 1127.5274658203125 811.3114624023438],0.7708787322044373,KNH279,0.15167075137644614,None
210,1.0,[925.1626802484628 631.2490621126472 1414.009753225937 988.5570919270781],[1049.0592041015625 768.6571655273438 1125.69580078125 811.1489868164062],0.7698889374732971,KWE279,0.16883616670579774,None
211,1.0,[925.884784729137 632.2151583735363 1415.0643657994294 986.7029608970777],[1049.0479736328125 768.6529541015625 1125.6922607421875 811.1471557617188],0.7702592015266418,KWE279,0.17099177355188325,None
212,1.0,[931.4753682036861 634.2901813424495 1420.688153505326 985.6929716014137],[1055.4678955078125 769.6331787109375 1128.4837646484375 810.45361328125],0.7549170851707458,KNN279,0.1394434024049944,KNM279
213,1.0,[933.5581803793061 635.4706123232556 1422.7510350399411 984.558342443177],[1055.4539794921875 769.6426391601562 1128.4727783203125 810.4198608398438],0.7538008093833923,KNY279,0.2958539614018141,None
214,1.0,[935.677143962645 637.4004323297314 1426.0695381670303 984.0120378798539],[1057.9217529296875 769.5377807617188 1130.131591796875 809.6402587890625],0.7498067021369934,KNE279,0.28649812066269204,None
216,1.0,[942.8536939812725 637.7167015810563 1436.8814327074078 979.8996843737804],[1058.343017578125 770.25732421875 1132.1099853515625 807.5042724609375],0.7510772943496704,KNN279,0.37666808488365555,None
217,1.0,[943.5935691545537 638.0448470749403 1439.19320505808 978.9169143647413],[1058.342041015625 770.2569580078125 1132.116943359375 807.50537109375],0.7513311505317688,KNN279,0.37666808488365555,None
218,1.0,[947.2401096380635 637.5874740970869 1443.8833892228763 976.5765804265616],[1061.39208984375 769.8114624023438 1134.915283203125 805.6653442382812],0.7553586959838867,KCN279,0.27397073610338313,None
231,1.0,[996.7849850329306 646.3427179783705 1500.934174207981 964.4400196585386],[1099.016357421875 771.1583862304688 1161.1041259765625 802.1672973632812],0.7075473666191101,KAA279,0.23622628662933803,KNK273
232,1.0,[999.8826078628738 648.3564072307158 1503.3690007137818 964.1307988352587],[1099.0145263671875 771.1602172851562 1161.108154296875 802.1738891601562],0.7076273560523987,KAA279,0.23622628662933803,KNK273
233,1.0,[1002.6398344316187 650.7958011093127 1506.4424956287223 963.5162127440825],[1105.086669921875 772.7832641601562 1164.201171875 804.1224975585938],0.6960210800170898,RNH279,0.3596882034448787,CHH278
234,1.0,[1009.8040640495213 655.3820688252046 1513.0376072640618 966.1797097359992],[1105.2100830078125 773.2571411132812 1170.6336669921875 806.7606811523438],0.6770772933959961,RRR279,0.4117822350961161,None
255,1.0,[1056.5142066157853 664.5590690962201 1581.675923204719 966.6527012493195],[1141.4473876953125 782.9686889648438 1198.19580078125 812.3792724609375],0.6153578758239746,CCI191,0.072169559142427,None
