frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract,license_plate_tesseract_score,license_plate_google
220,2.0,[623.2563780300527 498.3905020551472 1186.2248964639753 869.7958094080345],[751.4902954101562 731.7733154296875 828.6974487304688 767.7753295898438],0.6809265613555908,NRI320,0.31578592008293505,None,None,NRT320
224,2.0,[620.2047330788021 495.35378360225167 1202.9316592649495 870.9603231804338],[742.7103881835938 738.9208374023438 828.02197265625 773.515869140625],0.5687421560287476,NRT320,0.4155799052190137,None,None,None
227,2.0,[614.5821230731452 509.14301574469687 1207.1672658830403 889.2756031697702],[742.8922729492188 757.9768676757812 826.6383056640625 794.154296875],0.644029438495636,NBI320,0.21185871034862674,None,None,None
235,2.0,[602.0326108259792 490.655978865624 1209.9991347626 878.3117376609108],[739.2202758789062 740.820556640625 822.1681518554688 781.058349609375],0.6677153706550598,NBT320,0.2036639609467344,None,None,NRI320
237,2.0,[601.2670235433645 493.70301723991315 1212.141994586724 882.8722930722276],[739.166015625 743.89697265625 820.5005493164062 787.5165405273438],0.6551233530044556,NRT320,0.3510014541078845,WBT320,None,NRI320
239,2.0,[591.4299050603888 514.2895013418045 1205.5085909502918 905.8390460737833],[728.6903686523438 767.49755859375 813.063720703125 809.93408203125],0.7298933863639832,NBT320,0.38362692657809866,None,None,NRT320
242,2.0,[579.5541611218919 535.1514513007417 1197.884721699453 928.7750014144567],[718.7486572265625 789.3228149414062 803.0641479492188 829.3723754882812],0.7548102736473083,CBT320,0.2757436490510152,None,None,NBT320
245,2.0,[562.589662857245 548.8955198611841 1185.9351382913665 947.0823466907846],[703.661376953125 793.1847534179688 792.5713500976562 839.7552490234375],0.755814254283905,NPT320,0.1760748603084348,None,None,NRT320
246,2.0,[559.981247597547 549.1175325923134 1184.1052083830625 948.6737666047429],[703.7074584960938 793.1651000976562 792.6245727539062 839.7639770507812],0.75522381067276,NPT320,0.21218069940039005,None,None,NRT320
247,2.0,[555.4056889177591 548.9407998230993 1181.3446010680227 950.6341086981308],[699.65283203125 794.7127075195312 786.764892578125 839.7167358398438],0.777925968170166,MBT320,0.14731119581654578,None,None,NBT320
250,2.0,[538.0727801596797 536.3578992238545 1164.9638903549533 937.4717123256637],[684.2583618164062 786.7763671875 768.447021484375 825.400634765625],0.7712100148200989,NBI320,0.5200470522723376,NBT324,None,NBT324
251,2.0,[534.3269850855202 535.7794545179056 1161.3496868092293 937.4089859206231],[681.2080688476562 787.0294189453125 767.3485107421875 826.8387451171875],0.7705116271972656,NBT320,0.2995124466476553,None,None,NBT320
252,2.0,[532.9616041093503 535.453406822059 1160.0717850816263 937.4735431090268],[681.220458984375 787.0402221679688 767.3519897460938 826.8312377929688],0.7703661322593689,NBT320,0.2920761318386757,None,None,NBT320
256,2.0,[505.15289872759365 534.0412608847773 1139.8680946106292 941.4820942831291],[655.2639770507812 790.4658203125 744.6544189453125 832.9212036132812],0.7442536354064941,MBT320,0.31230422848205946,None,None,NRT324
260,2.0,[476.54320212889235 542.5199790175897 1116.3103279918826 950.3247806591982],[630.4109497070312 795.3502807617188 721.090576171875 838.9991455078125],0.7633384466171265,CBT320,0.16064553331478207,None,None,NRT324
271,2.0,[402.73593941547006 556.0875441812173 1043.2784595464796 977.9292234859599],[559.3013305664062 820.7757568359375 649.7378540039062 864.2493896484375],0.7773918509483337,NRT320,0.20905044762411318,NRT324,None,NRT324
273,2.0,[382.3399236383065 552.7698691047331 1023.763530976888 976.2577655386167],[538.385986328125 816.5182495117188 631.0062255859375 863.1134643554688],0.7454035878181458,NRT320,0.2232523965459667,None,None,NRI324
275,2.0,[363.5380048839021 547.9658885078106 1004.970959083119 972.5936025168594],[518.9500122070312 813.3311157226562 612.2070922851562 857.9403686523438],0.7615495920181274,NRT320,0.3487495372829254,None,None,NRI324
276,2.0,[359.98276206821777 547.2015635477027 1001.559862626522 972.0603378226955],[518.9628295898438 813.3451538085938 612.216796875 857.9320678710938],0.7621785998344421,NRI320,0.343251482064809,None,None,NRI324
279,2.0,[337.0309673180283 549.4659367025529 978.9895739015009 976.2464227898604],[494.769287109375 815.97802734375 587.967041015625 863.6401977539062],0.7392240166664124,MRT320,0.27764842806337664,None,None,NRI320
283,2.0,[313.7769066705539 560.1404613688699 956.1393126534078 990.7244625599219],[472.7546081542969 837.2554321289062 564.78466796875 879.9404296875],0.683062732219696,MRI320,0.6484174178877168,NRT324,None,NRI324
284,2.0,[308.36830673000446 561.5435993998567 951.8390626866501 992.372957763386],[471.2776794433594 837.2261352539062 563.4207153320312 883.8477172851562],0.7219628691673279,MRI320,0.08095263039510303,NRT320,None,NRI320
285,2.0,[305.170441058621 562.228320972496 949.7187898203167 993.6687526366818],[468.5126037597656 837.599365234375 562.1966552734375 883.8036499023438],0.7647238969802856,MRT320,0.3006628618266087,None,None,NRI324
287,2.0,[305.99419943638037 563.9153178304355 952.4920170794173 998.1780576445929],[471.1324157714844 840.0919799804688 565.7319946289062 888.1362915039062],0.7032305598258972,NRI320,0.5262581493080011,WRT324,None,NRI324
288,2.0,[306.07919299269895 564.0926269404939 953.3633831269848 999.2799927512962],[471.1326904296875 840.0919799804688 565.733642578125 888.1368408203125],0.7032707333564758,NRI320,0.5262581493080011,WRT324,None,NRI324
289,2.0,[305.9544815021631 566.3901628014167 953.6553817674167 1002.5022452455104],[473.7388000488281 846.082275390625 565.2908935546875 896.5816650390625],0.7277639508247375,NRI320,0.46988413894214454,None,None,NRI324
290,2.0,[301.361027978465 566.5258434472471 951.8968748386822 1002.6938875026908],[468.80731201171875 848.5460815429688 565.6578979492188 898.5584106445312],0.8040482401847839,NRT320,0.24623378400210366,None,None,NRI324
291,2.0,[296.5999918098755 568.4816500862345 950.3702878656766 1004.2442526107644],[471.4040222167969 851.7100219726562 566.3207397460938 899.650146484375],0.7751859426498413,NRT320,0.6246719505965322,None,None,NRI320
292,2.0,[299.8122734337377 571.0568291102836 952.7991977153603 1008.021447846249],[472.7075500488281 857.9551391601562 565.615966796875 902.6434936523438],0.7612944841384888,MRT320,0.3284949206006748,None,None,NRI324
298,2.0,[319.17078989990574 602.9348250765437 963.2639196167895 1043.23231381895],[490.7921447753906 887.3314819335938 585.8844604492188 936.6421508789062],0.7614342570304871,NRT320,0.31251916564525856,None,None,NRI324
299,2.0,[324.89097419256655 605.3014566560664 966.6170401071117 1046.5903452045284],[496.2185974121094 889.3881225585938 590.7258911132812 936.895751953125],0.7130411267280579,NRI320,0.3721430720501378,None,None,NRI324
300,2.0,[327.3937901536538 605.9257978536617 967.397092615749 1048.134785010399],[495.9040832519531 889.2189331054688 591.2058715820312 936.6842651367188],0.7374544143676758,NRT320,0.5450689344516234,None,None,NRI324
302,2.0,[338.9607995149941 600.2179971189755 978.4891028735997 1045.8037897382028],[511.8723449707031 886.8424072265625 607.2195434570312 936.271728515625],0.7629609704017639,NBT320,0.2663792332116619,None,None,NRI324
307,2.0,[370.78419287948014 581.2889267026663 1005.8322750742282 1027.2265647015988],[542.8352661132812 882.643798828125 637.8446655273438 927.2735595703125],0.7546637654304504,NRT320,0.4751116098990283,NRT420,None,NRI324
316,2.0,[438.7728531057426 571.1847962751478 1059.0040037817548 1019.3126326577751],[617.2152709960938 869.3280639648438 712.8422241210938 917.9456787109375],0.6636529564857483,NRT320,0.5945838638044347,NRT320,None,NRI324
319,2.0,[454.8433385859977 556.656994920212 1069.9674974045192 1003.7494549708202],[633.710205078125 859.7303466796875 727.7001342773438 902.5675048828125],0.7772102952003479,NPT320,0.3979243776273189,None,None,NRI324
322,2.0,[477.6850091146201 530.0782119293576 1087.3218150342593 978.7955534482617],[657.471435546875 820.1797485351562 756.1234130859375 869.3849487304688],0.7762753367424011,NRT320,0.13859108315548288,NRI320,None,NRI324
323,2.0,[485.6892285505365 520.9026507346994 1094.1840536797058 970.1576408658511],[663.958251953125 815.000244140625 764.8948974609375 864.1336669921875],0.7370702624320984,NRT320,0.6952675357709499,NRI324,None,NRI324
324,2.0,[488.73103930427607 517.4292122661747 1096.3697177123606 967.0982749025217],[663.9283447265625 815.0021362304688 764.9141235351562 864.1439819335938],0.7359086871147156,NRT320,0.7412124716616019,NRI324,None,NRT320
327,2.0,[500.95466198962714 500.63186168350535 1104.9700916862375 948.7560163855269],[683.2194213867188 792.4953002929688 780.3167724609375 840.8175659179688],0.7490715384483337,NRL320,0.3060408370557586,NRT320,None,NRT324
332,2.0,[526.3071864364209 488.718810890477 1118.7853801491015 931.523144730882],[708.2323608398438 777.8865966796875 807.4216918945312 826.2235107421875],0.7840965390205383,MRT320,0.5178960919584351,NRT324,None,NRI324
335,2.0,[530.9513513292154 481.57322095759525 1113.485460930615 924.6200676974178],[718.9967651367188 767.6061401367188 817.6741333007812 815.9306030273438],0.7624437212944031,NRL320,0.39999909274948253,NRT320,None,NRI324
337,2.0,[533.3549125597408 478.78657679864614 1110.039750448092 921.7771666775618],[722.5609130859375 765.9710083007812 821.6065063476562 814.0927734375],0.7383170127868652,NRT320,0.21211610535510658,NRT320,None,NRI324
339,2.0,[535.0138897345746 472.2877946378071 1105.6992253570702 918.4317992734038],[729.0584106445312 762.0692749023438 826.5477905273438 807.810302734375],0.7772466540336609,NRI320,0.44034134380161166,None,None,NRI324
343,2.0,[532.5112171325659 468.4154257296532 1090.111638370864 918.9421989871603],[730.842041015625 758.7662353515625 830.1897583007812 804.0791625976562],0.7980254292488098,MRT320,0.33572655341260893,WRT324,None,NRT324
344,2.0,[530.5478434011643 466.24239090524816 1086.0773443743758 916.7425326634634],[733.5062255859375 755.1341552734375 837.7481689453125 801.1595458984375],0.7760906219482422,NRT320,0.348389161787366,NRT324,None,NRI324
345,2.0,[531.5489831163079 463.81252165139176 1083.9563305280446 914.6774412769048],[734.5762939453125 750.6785888671875 838.9259033203125 802.122802734375],0.7742590308189392,NRT320,0.8622810540732944,NRT324,None,NRT324
347,2.0,[532.0893286947401 458.5760145658596 1081.2761377329196 908.7756595939813],[738.8873901367188 743.8212890625 841.2488403320312 792.228515625],0.7398394346237183,NRT320,0.36488454521101515,NRT328,None,NRT324
