frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract,license_plate_tesseract_score,license_plate_google
0,1.0,[758.4904174804688 551.4136962890625 1293.0552978515625 984.9790649414062],[964.8744506835938 766.2013549804688 1090.9820556640625 806.8599243164062],0.7764919400215149,AC028PE,0.6277769608702141,AC028PB,None,AC028PG
1,1.0,[758.4904174804688 551.4136962890625 1293.0552978515625 984.9790649414062],[964.8744506835938 766.2013549804688 1090.9820556640625 806.8599243164062],0.7764919400215149,AC028PE,0.6277769608702141,AC028PB,None,AC028PG
8,-1,[-1 -1 -1 -1],[1421.8531494140625 771.7161254882812 1585.516845703125 825.0342407226562],0.850607693195343,AC028PG,0.6128021777014858,AC028PG,None,AC028PG
9,-1,[-1 -1 -1 -1],[1420.8619384765625 773.257568359375 1584.465087890625 827.2844848632812],0.8434655070304871,AC028PG,0.7310826060952645,AC028PG,None,AC028PG
10,-1,[-1 -1 -1 -1],[1254.9737548828125 741.1437377929688 1411.745361328125 792.6710815429688],0.8244801163673401,AC028PG,0.8573395053903664,AC028PG,None,AC028PG
11,4.0,[878.8856429022976 508.685961601425 1529.7422392008789 1029.1930524082495],[1140.091552734375 758.956787109375 1294.3516845703125 809.5660400390625],0.8428282737731934,AC028PG,0.5800201787425026,AC028PG,None,AC028PG
12,4.0,[762.1682047207732 537.0253878708186 1345.157594688023 1006.8165915869617],[985.935791015625 766.508056640625 1118.4891357421875 816.847412109375],0.7864485383033752,AC028PG,0.6819120549414732,AC028PG,None,AC028PG
