frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,license_plate_tesseract
255,230.0,[1167.6397045244578 616.5589927723621 1715.4954941086864 944.0816670619678],[1524.6558837890625 815.9757080078125 1607.6993408203125 849.4567260742188],0.7557838559150696,AC532PQ,0.16874804842826177,None
256,230.0,[1166.4958517244831 615.3776673467515 1730.9046869175636 948.464214439536],[1524.6690673828125 815.9829711914062 1607.701171875 849.4553833007812],0.7555056214332581,AC532PQ,0.16874804842826177,None
387,280.0,[959.1694775462704 675.2005047871107 1273.8640557148094 934.4817079202405],[1061.1339111328125 772.84423828125 1120.119873046875 802.9674682617188],0.7188361287117004,KSC219,0.2743725592925128,None
394,280.0,[948.9237720988098 668.4231354185692 1283.32814679133 942.0192084833602],[1059.83203125 773.6431274414062 1122.61376953125 805.3985595703125],0.7720609903335571,ISN279,0.5338206984811702,None
400,280.0,[938.890583247922 664.3762986860089 1294.7252749211418 950.8779925260257],[1058.262451171875 771.104736328125 1122.49560546875 806.1990966796875],0.7573179006576538,ILL279,0.07798876432830162,None
401,280.0,[936.9763092415227 662.3740533526484 1296.7549628638171 951.6694077954205],[1057.6875 770.7266235351562 1124.2239990234375 806.2282104492188],0.7629722356796265,GNL279,0.19971193143771732,None
403,280.0,[934.0169470740635 660.9397581900977 1300.5660164860333 954.3261011679],[1057.8720703125 771.6943969726562 1124.9066162109375 808.700927734375],0.76115882396698,ICL279,0.27825942059914927,None
405,280.0,[931.0649567380765 658.3325051269709 1303.7953474934925 957.6095787768357],[1057.839599609375 772.2664184570312 1125.678955078125 809.81201171875],0.7604084610939026,KNA279,0.16929657419932045,None
419,280.0,[906.9113633284314 618.8440203058886 1341.082537639103 998.2152572645106],[1048.746337890625 790.3076171875 1132.740234375 833.776123046875],0.7506103515625,QNG275,0.14525125229639255,None
420,280.0,[905.8219169968812 607.5108328676508 1343.6398140168308 994.9603262055837],[1048.58056640625 790.0308837890625 1136.156982421875 834.047607421875],0.769197940826416,KMM279,0.25747669868014683,None
421,280.0,[904.3392997229065 604.7588391779893 1345.3861963527304 997.6160426732044],[1048.769287109375 789.6602783203125 1136.0076904296875 832.122802734375],0.7675743103027344,IMM279,0.5201617975116601,None
422,280.0,[903.1932142797011 602.8166199347374 1346.5247972397503 999.5569356432741],[1048.76806640625 789.660888671875 1136.0096435546875 832.1226806640625],0.7675707936286926,IMM279,0.5201617975116601,None
425,280.0,[900.785595975201 619.8307392026692 1350.6097597054295 1011.2318836831256],[1046.2547607421875 787.8347778320312 1135.4901123046875 831.1465454101562],0.7764991521835327,KMH278,0.12481724268312655,None
430,280.0,[890.3028011954714 630.2855706502389 1352.6850839584692 1012.7730062600824],[1039.324951171875 790.3487548828125 1130.71533203125 835.527099609375],0.7584629058837891,KMM278,0.17249487567529553,None
431,280.0,[889.1956067729067 627.3044017889795 1353.2890547007719 1012.088435038906],[1039.46240234375 790.3262329101562 1130.71337890625 835.5474243164062],0.7570953965187073,KMM278,0.17249487567529553,None
432,280.0,[887.7566210914104 631.8993967261587 1352.895178811291 1015.1487134757141],[1039.3724365234375 790.0162353515625 1128.723876953125 835.8541259765625],0.7721418738365173,IXN279,0.3751160211183734,None
433,280.0,[886.7044778065175 632.5550807352209 1352.4168296639232 1015.3908741767251],[1039.386474609375 790.021240234375 1128.721435546875 835.8527221679688],0.7719371914863586,IXN279,0.40907810618796653,None
434,280.0,[885.9832243413464 636.8378559047057 1352.5998042279123 1016.7729490104314],[1038.2841796875 789.8275146484375 1128.8778076171875 834.3494262695312],0.7699592709541321,KMM278,0.2383784511234185,None
438,280.0,[888.4351731139957 637.8667171815841 1356.9936077285208 1017.5059017333085],[1039.014892578125 787.4064331054688 1129.713623046875 830.2428588867188],0.7541208863258362,KNL279,0.13471092109697647,None
445,280.0,[891.3155709068035 631.9097598955124 1359.3739658653042 1010.6862931804425],[1038.2545166015625 782.86328125 1128.3087158203125 826.620361328125],0.7959219217300415,RNM278,0.1664150387761982,None
446,280.0,[891.4659196100558 632.0835040990862 1359.2274181340929 1010.1106023356328],[1038.179931640625 782.9010009765625 1128.31982421875 826.637939453125],0.7954623103141785,RNM278,0.28091468158935706,None
449,280.0,[895.4879078544626 635.5031908262006 1364.5977341366938 1010.438469990793],[1037.3271484375 787.9594116210938 1126.503173828125 830.0198364257812],0.7233607769012451,KNM278,0.326392190491863,None
463,280.0,[910.7053653217622 620.4832336921506 1394.782370111388 992.3282516818331],[1040.7913818359375 768.7998046875 1119.4454345703125 813.287841796875],0.7488267421722412,KNI279,0.23193507801995067,None
464,280.0,[913.3992130651982 621.8708445749867 1398.6735320044968 991.781902723845],[1043.7279052734375 768.6300659179688 1121.088134765625 811.6528930664062],0.7737671732902527,IKN279,0.32160377015352987,None
489,280.0,[996.2340055295672 645.5605531932003 1500.7448244995135 964.0120290080565],[1098.5277099609375 770.9014892578125 1161.0845947265625 802.0177001953125],0.7153435349464417,GCH279,0.07731747287694585,GEL209
490,280.0,[998.8259361124422 647.250391701605 1503.127156590345 963.4907108662088],[1098.4801025390625 770.8779296875 1161.08642578125 801.9470825195312],0.7162301540374756,GLI278,0.04182200527152791,None
491,280.0,[1001.8365943603965 650.1246020860484 1505.9428001426957 963.7218824396163],[1104.92919921875 772.635009765625 1164.2266845703125 804.0473022460938],0.7048404216766357,GNY279,0.037475872826178695,None
493,280.0,[1014.0735086551973 658.3192955517843 1516.4823690119624 966.6077226488931],[1112.0523681640625 774.8760375976562 1173.6036376953125 806.5928344726562],0.7158898115158081,LCL279,0.336065890717974,None
494,280.0,[1015.9395377658877 660.1102314491501 1517.5873126995996 966.4645087720816],[1112.0595703125 774.8697509765625 1173.604736328125 806.592041015625],0.7158321142196655,LCL279,0.336065890717974,None
496,280.0,[1022.7999724386549 661.9716816705605 1527.189493692123 966.0967185279566],[1116.111083984375 775.4205322265625 1175.4786376953125 807.337646484375],0.7124339938163757,KIW219,0.12266898134779164,None
497,280.0,[1023.92893707794 662.4117710564162 1529.017770254953 965.8132057601126],[1116.1484375 775.4148559570312 1175.4969482421875 807.4074096679688],0.7102643251419067,KIW219,0.12266898134779164,None
